phase,url,template,run_date,environment,lighthouse_version,html_bytes,css_bytes,js_bytes,image_bytes,font_bytes,requests,lcp_ms,inp_ms,cls,ttfb_ms,source,notes
after,http://127.0.0.1:4188/course/,course,2026-08-11T02:08:42.976Z,local static server; Lighthouse mobile simulated throttling,13.0.1,10785,152006,28447,0,134143,10,2866.5,,0.0015,5,raw/performance/after-course.json,Lab result; INP and field Core Web Vitals require RUM/CrUX data.
after,http://127.0.0.1:4188/,home,2026-08-11T02:08:14.702Z,local static server; Lighthouse mobile simulated throttling,13.0.1,13242,152006,28447,0,249173,11,3488.2,,0.0029,124,raw/performance/after-home.json,Lab result; INP and field Core Web Vitals require RUM/CrUX data.
after,http://127.0.0.1:4188/course/python-setup-and-ides/,lesson,2026-08-11T02:09:15.212Z,local static server; Lighthouse mobile simulated throttling,13.0.1,28555,152006,28447,0,249173,11,3774.4,,0.0003,1,raw/performance/after-lesson.json,Lab result; INP and field Core Web Vitals require RUM/CrUX data.
baseline,http://127.0.0.1:4187/course/,course,2026-08-11T02:06:52.277Z,local static server; Lighthouse mobile simulated throttling,13.0.1,11034,152006,28447,0,134143,10,2874.3,,0.0006,3,raw/performance/baseline-course.json,Lab result; INP and field Core Web Vitals require RUM/CrUX data.
baseline,http://127.0.0.1:4187/,home,2026-08-11T02:06:17.333Z,local static server; Lighthouse mobile simulated throttling,13.0.1,13488,152006,28447,0,249173,11,3610.9,,0.0008,3,raw/performance/baseline-home.json,Lab result; INP and field Core Web Vitals require RUM/CrUX data.
baseline,http://127.0.0.1:4187/course/python-setup-and-ides/,lesson,2026-08-11T02:07:23.502Z,local static server; Lighthouse mobile simulated throttling,13.0.1,28659,152006,28447,0,249173,11,3786.2,,0.0003,14,raw/performance/baseline-lesson.json,Lab result; INP and field Core Web Vitals require RUM/CrUX data.
